x_n,y_n
     0,     0
  1606,    22
  3196,   151
  4756,   517
  6269,  1217
  7723,  2266
  9102,  3602
 10394,  5122
 11585,  6713
 12664,  8275
 13622,  9738
 14451, 11063
 15144, 12232
 15695, 13244
 16097, 14107
 16383, 14829
     0, 15185
 -1606, 14494
 -3197, 12189
 -4756,  8492
 -6270,  4166
 -7723,   -30
 -9103, -3595
-10394, -6338
-11585, -8309
-12665, -9694
-13623,-10716
-14452,-11565
-15145,-12361
-15695,-13153
-16098,-13940
-16384,-14691
     0,-15129
  1606,-14526
  3196,-12290
  4756, -8635
  6269, -4326
  7723,  -129
  9102,  3447
 10394,  6204
 11585,  8188
 12664,  9581
 13622, 10606
 14451, 11455
 15144, 12249
 15695, 13040
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-15128
  1606,-14525
  3196,-12289
  4756, -8635
  6269, -4327
  7723,  -130
  9102,  3446
 10394,  6203
 11585,  8187
 12664,  9581
 13622, 10607
 14451, 11456
 15144, 12250
 15695, 13041
 16097, 13827
 16383, 14574
     0, 15008
 -1606, 14406
 -3197, 12174
 -4756,  8522
 -6270,  4214
 -7723,    16
 -9103, -3562
-10394, -6320
-11585, -8304
-12665, -9698
-13623,-10724
-14452,-11573
-15145,-12367
-15695,-13157
-16098,-13942
-16384,-14691
     0,-14691
